nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0458356,Christopher Klatman,-1,-1,"music_department,composer,soundtrack","tt0141369,tt0259288,tt0146675,tt0765476"
nm0458628,Jordan 'Jordy' Klein Jr.,-1,-1,"camera_department,cinematographer,producer","tt4574334,tt1666185,tt1405406,tt3922818"
nm0459029,Rudolf Klein-Rhoden,1871,1936,"actor,director,producer","tt9213332,tt0460055,tt9212502,tt0189716"
nm0459257,Martin Klempnow,1973,-1,"actor,writer","tt1555868,tt0108979,tt13468658,tt0982599"
nm0459546,Uwe Klimmeck,-1,-1,"editor,editorial_department,special_effects","tt0135831,tt1998204,tt0215824,tt1451305"
nm0459558,Vladimir Klimov,1949,-1,"cinematographer,camera_department,actor","tt1461277,tt0124207,tt0357169,tt0412042"
nm0460114,Joe Klotz,-1,-1,"editor,editorial_department,music_department","tt0929632,tt1327773,tt30406366,tt3846674"
nm0460946,Jason Knight,-1,-1,"casting_director,casting_department,actor","tt22041854,tt13669038,tt10813940,tt1895587"
nm0461776,Andreas Knuffmann,-1,-1,"producer,director,editor","tt2243101,tt10115628,tt0175398,tt0112168"
nm0461874,Wolfgang Knöpfler,-1,-1,"production_manager,producer,location_management","tt0119167,tt5952266,tt9326056,tt0484796"
nm0462359,Kyle Koch,-1,-1,"assistant_director,editorial_department,editor","tt0112830,tt0116890,tt0114222,tt0320740"
nm0462571,Leo Kocking,1951,-1,"production_manager,cinematographer,director","tt0107584,tt0230193,tt0098279,tt0099027"
nm0462648,Oja Kodar,1941,-1,"actress,writer,director","tt0239070,tt0069049,tt0209994,tt0108506"
nm0462735,Frederick Koehler,1975,-1,"actor,soundtrack,archive_footage","tt0085970,tt0452608,tt0213149,tt0339736"
nm0463628,Masayuki Kojima,1961,-1,"director,art_department,animation_department","tt2411128,tt7222086,tt0156215,tt1119194"
nm0463718,Spyros Kokkas,-1,-1,"editor,editorial_department,producer","tt0382988,tt0373195,tt0990431,tt0143232"
nm0465503,Louis Koo,1970,-1,"actor,producer,soundtrack","tt7375466,tt7245176,tt0841150,tt7979580"
nm0465572,Rebecca Koon,1954,-1,actress,"tt0316465,tt1924435,tt0219699,tt9764362"
nm0465894,Lena Koppel,1955,-1,"director,writer,script_department","tt0404827,tt0439393,tt0120060,tt1699491"
nm0465901,Ted Koppel,1940,-1,"editorial_department,producer,writer","tt1239074,tt0154053,tt0165001,tt0329898"
nm0466120,Dimitris Kordelas,-1,-1,"cinematographer,camera_department,producer","tt8495520,tt0289531,tt0111285,tt0255962"
nm0466625,Aliona Korovka,-1,-1,actress,"tt0119952,tt10735778,tt10014838,tt19356320"
nm0467226,Wanda Kosmo,1930,2007,"actress,director,writer","tt0205689,tt0209737,tt1529717,tt0205646"
nm0467601,Eric Kot,1966,-1,"actor,director,producer","tt0355708,tt0113351,tt0109471,tt0440003"
nm0468007,Jan Kounen,1964,-1,"director,writer,actor","tt0276830,tt0108485,tt0493101,tt0118996"
nm0468371,Konstantinos Kovas,1966,-1,"editorial_department,actor,director","tt2458010,tt0092413,tt5923996,tt10368496"
nm0468476,Gábor Kovács,1955,-1,producer,"tt0466370,tt2844798,tt5842890,tt1503714"
nm0469021,Malgorzata Kozuchowska,1971,-1,"actress,producer,soundtrack","tt1973695,tt0127626,tt2245989,tt0190506"
nm0469103,Jeroen Krabbé,1944,-1,"actor,director,producer","tt0106977,tt0098141,tt0093428,tt0110116"
nm0469472,Cecil Kramer,-1,-1,"producer,visual_effects,miscellaneous","tt0424095,tt0112740,tt0375568,tt5670764"
nm0469857,Ivan Krapic,-1,-1,actor,"tt0163596,tt0137204"
nm0470156,Shmulik Kraus,1935,2013,"actor,writer,composer","tt0834955,tt0152703,tt0145063,tt0143252"
nm0470182,Brian Krause,1969,-1,"actor,producer,director","tt0158552,tt0102782,tt0105428"
nm0470751,Amy Krell,-1,-1,"producer,production_manager,executive","tt33204691,tt10006006,tt8510488,tt35681078"
nm0471097,Brad Krevoy,-1,-1,"producer,production_manager,miscellaneous","tt0118708,tt2874692,tt0281322,tt0109686"
nm0472028,Pawel Królikowski,1961,2020,"actor,soundtrack","tt6229766,tt1096980,tt0262975,tt1973421"
nm0472248,Piet Kroon,1960,-1,"art_department,animation_department,director","tt0112773,tt0152800,tt5814534,tt0848537"
nm0473577,Yôsuke Kubozuka,1979,-1,"actor,director,writer","tt0490215,tt0299937,tt0368855,tt0209631"
nm0473983,Thomas Kufus,1957,-1,"producer,director,writer","tt2779016,tt0107547,tt0362455,tt4193400"
nm0474328,Alexander Kukelka,1963,-1,"composer,music_department","tt1683929,tt0115045,tt0110114,tt10101954"
nm0474604,Mrinal Kulkarni,1968,-1,"actress,director,writer","tt10209956,tt17274522,tt16227346,tt3360350"
nm0474609,Atul Kulkarni,1965,-1,"actor,producer,writer","tt0405508,tt10028196,tt9094442,tt0222012"
nm0474623,Shankar Kulkarni,-1,-1,"actor,sound_department","tt0247974,tt0266400,tt0275185,tt0331308"
nm0474820,Kiran Kumar,1953,-1,actor,"tt1225875,tt0104607,tt0359168,tt27056012"
nm0474824,Krishan Kumar,-1,-1,"producer,actor,sound_department","tt8983202,tt7581902,tt8108274,tt5764096"
nm0474844,Padam Kumar,-1,-1,"actor,writer,producer","tt0362204,tt11663228,tt0476791,tt0270880"
nm0474861,Raman Kumar,-1,-1,"writer,director,actor","tt0341554,tt0476861,tt0827758,tt0366935"
nm0475020,Jani Kumpulainen,-1,-1,"cinematographer,camera_department,writer","tt0170107,tt5444058,tt8193512,tt0367204"
nm0475070,Kunchan,-1,-1,actor,"tt3417422,tt0271663,tt0271816,tt0268954"
nm0475338,Tamo Kunz,1972,-1,"production_designer,miscellaneous,art_department","tt5723272,tt0347048,tt1244668,tt0880502"
nm0475594,Hideyuki Kurata,-1,-1,"writer,miscellaneous,actor","tt7222086,tt3774792,tt22249034,tt0425710"
nm0475779,Andrei Kurkov,1964,-1,"writer,actor","tt0119952,tt35706481,tt1935105,tt0100977"
nm0476130,Emilie Kurz,1874,1934,"actress,archive_footage","tt0015064,tt0012973,tt0010785,tt0346052"
nm0476151,Barbara Kurzaj,1975,-1,"actress,director,assistant_director","tt5809074,tt1730323,tt15019128,tt0258552"
nm0476286,Avi Kushnir,1960,-1,"actor,writer,soundtrack","tt0306294,tt0402374,tt0133351,tt9073940"
nm0477209,Aaron Kwok,1965,-1,"actor,music_department,soundtrack","tt4417522,tt0768114,tt0165499,tt7183578"
nm0477213,Chi-Kin Kwok,-1,-1,"actor,writer,director","tt2017561,tt1611823,tt3730518,tt3414954"
nm0477274,Chi-Leung Kwong,-1,-1,"editor,editorial_department,miscellaneous","tt0109424,tt2186715,tt0271946,tt0226693"
nm0477584,István Kálmánczhelyi,-1,-1,"production_department,miscellaneous,sound_department","tt0120526,tt0078741,tt0093482,tt0117809"
nm0478121,Christoph Kühn,-1,-1,"director,writer,producer","tt0120560,tt1032175,tt1032148,tt10089372"
nm0478202,Aline Küppenheim,1969,-1,"actress,archive_footage","tt5639354,tt0378284,tt1327798,tt19758012"
nm0478411,Bruno La Brasca,-1,-1,actor,"tt4819032,tt0077317,tt1915601,tt1060234"
nm0478555,Murielle Laferrière,-1,-1,"casting_director,casting_department","tt4131756,tt0122436,tt0396112,tt0110390"
nm0479471,Shia LaBeouf,-1,-1,"actor,writer,director","tt8151874,tt4364194,tt2713180,tt0418279"
nm0479586,Leopoldo Laborde,1970,-1,"director,writer,producer","tt7963340,tt0316562,tt8320406,tt0441542"
nm0479884,Felipe Lacerda,1969,-1,"editor,director,producer","tt6016744,tt10759006,tt0340468,tt0140888"
nm0479893,Pedro Lacerda,1971,-1,"actor,writer","tt8885808,tt3230920,tt1538439,tt4840098"
nm0481124,Rodolfo Laganà,1957,-1,"actor,writer,soundtrack","tt0382921,tt0168533,tt0887169,tt0122358"
nm0481155,João Lagarto,1954,-1,actor,"tt0245429,tt1710588,tt0114651,tt0816149"
nm0481504,Shyam Laha,1911,1973,actor,"tt0158022,tt0046304,tt0157002,tt0324391"
nm0481568,Bappi Lahiri,1952,2022,"music_artist,composer,music_department","tt1954206,tt2574698,tt0088099,tt0084385"
nm0482285,Lakshmi,1952,-1,"actress,director","tt0279017,tt0187192,tt0157039,tt1183907"
nm0482581,Chiu-Wing Lam,1961,2023,"actor,writer,producer","tt2266938,tt0102448,tt0848538,tt8991312"
nm0482595,David Lam,-1,-1,"director,actor,producer","tt23630864,tt0107399,tt3469440,tt0184927"
nm0482628,Ka-Tung Lam,1967,-1,"actor,producer,writer","tt1220719,tt0338564,tt14032696,tt14713814"
nm0482764,Andre Lamal,-1,-1,"producer,actor,production_manager","tt1838544,tt0324554,tt1598828,tt0475944"
nm0482851,Phil LaMarr,1967,-1,"actor,writer,miscellaneous","tt0110912,tt0149460,tt0278238,tt0112056"
nm0483194,John Lambert,-1,-1,"visual_effects,cinematographer,camera_department","tt0087332,tt0086837,tt0089175,tt0108154"
nm0483944,Gerhard Lamprecht,1897,1974,"director,writer,producer","tt0017498,tt0129232,tt0017352,tt0018049"
nm0484262,Chris Lancey,-1,-1,"producer,director,writer","tt15485002,tt5910170,tt7620746,tt8558774"
nm0484457,Jon Landau,1960,2024,"producer,production_manager,writer","tt0120338,tt0499549,tt1630029,tt0437086"
nm0484528,Tusse Lande,1959,-1,"casting_director,casting_department,assistant_director","tt2379713,tt1074638,tt1216487,tt1132620"
nm0484541,Amy Landecker,1969,-1,"actress,director,producer","tt31590095,tt0480242,tt1019452,tt3502262"
nm0484678,Michael Landes,-1,-1,"actor,producer,soundtrack","tt11083696,tt13111040,tt5663062,tt0309593"
nm0484861,Matej Landl,1963,-1,actor,"tt1320219,tt0110666,tt0434246,tt0077083"
nm0484981,Sylvie Landra,-1,-1,"editor,producer,editorial_department","tt0119116,tt0110413,tt0151137,tt0327554"
nm0485016,Franck Landron,1957,-1,"producer,director,writer","tt0091288,tt0100836,tt0407251,tt0124114"
nm0485895,Robert Lang,-1,-1,"producer,writer,director","tt1830154,tt3882136,tt1837641,tt0223309"
nm0485954,Marie-Claude Lang-Brenguier,-1,-1,"art_director,art_department,production_designer","tt10462338,tt3451360,tt1374958,tt0392799"
nm0486374,Bonnie Langford,1964,-1,"actress,writer,soundtrack","tt0088512,tt0261655,tt0056751,tt0162093"
nm0486624,Arlette Langmann,1946,-1,"writer,editor,actress","tt0107002,tt16252698,tt0091288,tt0086650"
nm0486799,Jos Laniado,-1,-1,"actor,producer,writer","tt2084952,tt1595859,tt2357547"
nm0486883,Satyam Lanka,-1,-1,"actor,director","tt1468865,tt0254553,tt0254982,tt0263402"
nm0487351,Claude Lanzmann,1925,2018,"director,writer,producer","tt0090015,tt0069115,tt6908854,tt0286978"
nm0487743,Jane Lapotaire,1944,-1,"actress,soundtrack,archive_footage","tt0091374,tt0296309,tt0117791,tt2235695"
nm0487884,Alexandra Maria Lara,1978,-1,"actress,soundtrack,archive_footage","tt0363163,tt1979320,tt0976051,tt1981128"
nm0487897,Christian Lara,1939,2023,"writer,director,producer","tt0206321,tt1773472,tt1773398,tt0238867"
nm0488477,Michèle Laroque,1960,-1,"actress,writer,director","tt0119590,tt6859344,tt0243493,tt12883472"
nm0489441,Jessie Lasaten,-1,-1,"composer,music_department,sound_department","tt2477732,tt2101393,tt1245468,tt1200074"
nm0490746,Karen Lauder,-1,-1,"producer,executive","tt0467197,tt0420293,tt8106568,tt1391034"
nm0491054,Andrew Lauren,1969,-1,"producer,actor,writer","tt1714206,tt8999762,tt4827558,tt0367089"
nm0492911,Marcus Lawrence,-1,-1,"actor,producer,writer","tt7512632,tt10422406,tt13664332"
nm0493257,Josh Lawson,1981,-1,"actor,writer,director","tt2785032,tt0293429,tt6023474,tt1229340"
nm0493311,Richard Lawson,1947,-1,"actor,producer,miscellaneous","tt1405500,tt0084516,tt0120703,tt0088194"
nm0493662,Andrew Lazar,1966,-1,"producer,executive","tt2179136,tt0186566,tt3045616,tt0270288"
nm0493929,Catherine Lazo,-1,-1,actress,"tt0333780,tt0267057,tt0169619,tt0112022"
nm0493948,Gianfrancesco Lazotti,1957,-1,"director,writer,assistant_director","tt1637679,tt0195230,tt0111519,tt0205845"
nm0493965,Luca Lazzareschi,-1,-1,"actor,miscellaneous","tt0281449,tt0111230,tt0103243,tt10137462"
nm0494328,François-Charles Le Goff,-1,-1,"production_manager,producer,actor","tt0856288,tt0206917,tt10011284,tt1016275"
nm0494372,Ursula K. Le Guin,1929,2018,"writer,miscellaneous","tt0495596,tt0081036,tt8074462,tt8838452"
nm0494990,Larry Leahy,-1,-1,"script_department,writer,producer","tt0120647,tt0257044,tt0371246,tt0095503"
nm0495023,Damien Leake,-1,-1,"actor,archive_footage","tt0427309,tt0078788,tt0098273,tt0118972"
nm0495075,Leandra Leal,1982,-1,"actress,producer,writer","tt2372755,tt2139855,tt0420449,tt0882820"
nm0495095,Sharon Leal,1972,-1,"actress,producer,soundtrack","tt0443489,tt2205401,tt0247081,tt0937375"
nm0495166,Amanda Lear,1939,-1,"actress,miscellaneous,composer","tt0317705,tt0790636,tt0483098,tt0078527"
nm0495378,Charles Leavitt,-1,-1,"writer,actor,producer","tt0450259,tt3215824,tt1121096,tt1390411"
nm0495603,Dan Lebental,-1,-1,"editor,editorial_department,miscellaneous","tt0371746,tt0478970,tt0331811,tt0293429"
nm0495797,Frank Leboeuf,1968,-1,"actor,producer,miscellaneous","tt2980516,tt18260238,tt4389090,tt1728977"
nm0496227,Kadija Leclere,-1,-1,"casting_director,casting_department,actress","tt1848975,tt1181611,tt0485947,tt1130988"
nm0496899,Bobby Lee,1972,-1,"actor,writer,director","tt1268799,tt0112056,tt1092026,tt0910936"
nm0497121,David Lee,-1,-1,"producer,miscellaneous,actor","tt0490215,tt1025100,tt0454876,tt0808357"
nm0497563,John Lee,-1,-1,"producer,director,writer","tt2104664,tt10096842,tt0450357,tt1132124"
nm0498278,Stan Lee,1922,2018,"producer,writer,actor","tt1211837,tt1825683,tt2250912,tt3896198"
nm0498500,Zion Forrest Lee,-1,-1,"actor,writer,stunts","tt10418662,tt1386697,tt1293847,tt5397194"
nm0499118,John Leftwich,-1,-1,"music_department,composer","tt0110475,tt0318374,tt1690953,tt2293640"
nm0499298,Wayne LeGette,-1,-1,"actor,miscellaneous,music_department","tt23769168,tt11394330,tt7199030,tt0810788"
nm0500098,Hudson Leick,1969,-1,"actress,archive_footage","tt0163579,tt0362047,tt0112230,tt0111999"
nm0500333,Anne Leighton,-1,-1,"actress,writer,producer","tt0364845,tt7861612,tt4052886,tt1830617"
nm0500596,Rita Leistner,-1,-1,"cinematographer,director,producer","tt10106394,tt2907934,tt0115621,tt3721694"
nm0501310,Michel Lemieux,-1,-1,"director,producer,writer","tt6404142,tt0285812,tt1262984,tt27351175"
nm0501350,Olaf Lemitz,1972,-1,"writer,location_management,transportation_department","tt0252299,tt0422105,tt0283440,tt0291451"
nm0501359,Darren Lemke,-1,-1,"writer,producer,director","tt1025100,tt1351685,tt1860353,tt0448115"
nm0501399,Steve Lemme,1968,-1,"producer,writer,actor","tt0247745,tt0331953,tt0486551,tt0859635"
nm0501999,Christopher Lennertz,1972,-1,"composer,music_department,actor","tt1190634,tt4765284,tt5232792,tt1700841"
nm0502342,Bethany Joy Lenz,1981,-1,"actress,director,composer","tt0773262,tt8115460,tt0413573,tt2364582"
nm0502425,Melissa Leo,1960,-1,"actress,producer,archive_footage","tt0964517,tt1392214,tt0978759,tt1244754"
nm0503140,Chauncey Leopardi,1981,-1,actor,"tt0108037,tt0112499,tt0101862,tt0120777"
nm0503287,Wojciech Lepianka,1963,-1,"writer,assistant_director,actor","tt2209426,tt0338949,tt14904388,tt0108294"
nm0504205,Mira Lesmana,1964,-1,"producer,writer,director","tt13370162,tt0274621,tt10656240,tt4235342"
nm0504672,Jonathan Lethem,1964,-1,"writer,actor,miscellaneous","tt0385887,tt0405296,tt1680053,tt2490008"
nm0504745,Xavier Letourneur,-1,-1,"actor,writer,miscellaneous","tt0411272,tt1429534,tt0452909,tt0290915"
nm0504762,Matt Letscher,1970,-1,"actor,writer,producer","tt0120746,tt1798709,tt0309698,tt4024332"
nm0504855,Maria Letícia,1947,-1,"actress,director","tt0260296,tt0159804,tt0064616,tt1143097"
nm0504945,Hung-Wah Leung,-1,-1,"writer,producer,actor","tt0302612,tt0898098,tt10978642,tt0330796"
nm0504973,Alex Man,1957,-1,"actor,soundtrack,archive_footage","tt2852802,tt0096461,tt0093258,tt0316993"
nm0505118,Gary Leva,-1,-1,"producer,director,editor","tt15560488,tt0996396,tt0427452,tt1149982"
nm0506215,Gene Levitt,1920,1999,"writer,producer,director","tt0983946,tt0068060,tt0055666,tt0052440"
nm0506217,Heidi Levitt,-1,-1,"casting_director,producer,casting_department","tt1655442,tt0102138,tt0113987,tt0117500"
nm0506374,Dani Levy,1957,-1,"actor,director,writer","tt0416331,tt0117745,tt0098210,tt0806910"
nm0506858,Malgorzata Lewinska,1971,-1,"actress,archive_footage","tt0116154,tt1086360,tt0386946,tt0271913"
nm0507161,Ellen Lewis,-1,-1,"casting_director,casting_department,production_department","tt5537002,tt0407887,tt1677720,tt0993846"
nm0507212,Geoffrey Lewis,1935,2015,"actor,writer,director","tt0202677,tt0395584,tt0087799,tt0072288"
nm0507468,Lightfield Lewis,1970,-1,"actor,director,writer","tt0116695,tt0201290,tt0106013,tt0115245"
nm0507976,David Ley,-1,-1,"actor,archive_sound","tt1073668,tt1839558,tt0088559,tt12986254"
nm0508000,Nilcemar Leyart,-1,-1,"editor,make_up_department,costume_designer","tt0074683,tt0347769,tt0237238,tt0441107"
nm0508441,Kai Li,-1,-1,"actor,production_department,director","tt0190332,tt0327850,tt10080086,tt0314353"
nm0508508,Shaohong Li,1955,-1,"director,producer,writer","tt0110051,tt0105863,tt0457472,tt9198974"
nm0508608,Teemu Liakka,-1,-1,"camera_department,cinematographer,miscellaneous","tt14846026,tt3616916,tt29044978,tt0170107"
nm0508633,Danni Liang,1959,-1,actress,"tt3302850,tt8723472,tt13534314,tt6760566"
nm0508644,Liang Jingdong,-1,-1,"actor,art_director,production_designer","tt3740778,tt0859765,tt0318025,tt0144020"
nm0508679,Ching-Sung Liao,-1,-1,"editor,producer,editorial_department","tt0112659,tt3508840,tt4417522,tt0459666"
nm0508732,Matthew Libatique,1968,-1,"cinematographer,camera_department,producer","tt0947798,tt0180093,tt0138704,tt1517451"
nm0508899,Olivier Lliboutry,-1,-1,"composer,music_department","tt8726180,tt3772660,tt1693746,tt0267024"
nm0510908,Jong Lin,-1,-1,"cinematographer,producer","tt0286499,tt0401808,tt0111797,tt0499224"
nm0511038,Nascuy Linares,1972,-1,"composer,editor,music_department","tt4285496,tt9089416,tt1479695,tt28291912"
nm0511659,Clemens Aap Lindenberg,-1,-1,actor,"tt32433286,tt2984400,tt0297952,tt6905756"
nm0512071,Vincent Lindon,1959,-1,"actor,writer,producer","tt10944760,tt4428814,tt0113247,tt1217637"
nm0512226,Greg Lindsay,-1,-1,"actor,writer,producer","tt3799694,tt0445934,tt0364828,tt2199251"
nm0513123,Lucinha Lins,1953,-1,"actress,soundtrack,archive_footage","tt1339218,tt0439917,tt0229161,tt0149541"
nm0513786,Dalibor Lipský,1954,-1,"editor,actor,editorial_department","tt0113027,tt0083162,tt0161934,tt0182728"
nm0513799,Bradford Lipson,-1,-1,"camera_department,cinematographer,visual_effects","tt0884732,tt7772602,tt1703925"
nm0513898,Cláudia Lira,1964,-1,actress,"tt0316969,tt0202747,tt0138217,tt0367273"
nm0514153,Kacper Lisowski,1972,-1,"cinematographer,camera_department,director","tt8581262,tt16659696,tt0375154,tt3663136"
nm0514160,David Beaulieu,-1,-1,actor,"tt27197387,tt16477036,tt0850247,tt9105628"
nm0514474,Robert Littell,1935,-1,"writer,miscellaneous","tt0899043,tt0082005,tt2402137,tt15056684"
nm0514481,Susan Littenberg,-1,-1,"editor,editorial_department,producer","tt1282140,tt0337563,tt0413895,tt0271219"
nm0514880,Robert Jay Litz,-1,2012,"writer,editorial_department,producer","tt0089883,tt0107148,tt0473100,tt0097857"
nm0514961,Kai-Chi Liu,1954,2021,"actor,writer,miscellaneous","tt0369060,tt1330525,tt0386005,tt0478024"
nm0514995,Qiong Liu,1913,2002,"actor,director,writer","tt13058316,tt6611820,tt0348022,tt6611572"
nm0515200,Barbara Livi,1973,-1,actress,"tt0221383,tt1784143,tt0328797,tt0112375"
nm0515217,Alice Brooks,-1,-1,"cinematographer,director,writer","tt19847976,tt1262426,tt1321510,tt8721424"
nm0515280,Paige Livingston,1962,-1,"producer,director,special_effects","tt0978194,tt1649586,tt4828328,tt0101953"
nm0515296,Ron Livingston,1967,-1,"actor,camera_department,producer","tt1457767,tt0151804,tt0268126,tt0185906"
nm0516327,Meng Lo,1952,-1,"actor,camera_department,producer","tt2888046,tt1386932,tt0104684,tt1462900"
nm0517885,Peter Lohmeyer,1962,-1,"actor,producer,director","tt1461962,tt0129659,tt1244668,tt28529513"
nm0518467,Liesl Lombardo,1967,-1,"actress,director,writer","tt0145534,tt0202267,tt0134269,tt1521038"
nm0518547,June Carryl,1967,-1,"actress,writer,director","tt10266874,tt5290382,tt1586680,tt8064302"
nm0518740,Lisa London,-1,-1,"casting_director,casting_department,producer","tt8781414,tt0493093,tt0852713,tt0456554"
nm0518765,Paul London,1980,-1,"actor,production_department,stunts","tt0227972,tt0185103,tt0430506,tt0321013"
nm0519117,Miles Long,1968,-1,"cinematographer,camera_department,director","tt23395420,tt8348318,tt1754292,tt11033108"
nm0519209,Tim Long,1969,-1,"producer,writer,production_department","tt0096697,tt0462538,tt1985949,tt5755238"
nm0519427,Malisa Longo,1950,-1,"actress,archive_footage","tt0068935,tt0074471,tt0215837,tt0068183"
nm0519486,Robert Longstreet,1962,-1,"actor,producer,editor","tt32205896,tt1763280,tt8870946,tt3851142"
nm0519689,Jim Loomis,-1,-1,"editorial_department,editor,cinematographer","tt7949310,tt2837866,tt2238954,tt10073640"
nm0519735,Anne-Marie Loop,-1,-1,actress,"tt3792960,tt3218580,tt3790610,tt33612927"
nm0520199,Sal Lopez,-1,-1,"actor,miscellaneous,producer","tt0093058,tt16311594,tt3315342,tt0328107"
nm0521649,David Loucka,-1,-1,"writer,producer,script_department","tt0498381,tt1582507,tt1462041,tt0097235"
nm0522151,Olivier Loustau,-1,-1,"actor,writer,director","tt5980798,tt4040042,tt22492554,tt0317208"
nm0522306,Darlene Love,1941,-1,"music_artist,actress,music_department","tt0097733,tt0122151,tt0104714,tt0093409"
nm0523219,Marcella Lowery,1945,-1,actress,"tt0462519,tt0102526,tt10121392,tt0082031"
nm0524138,Georges Lucas,-1,-1,"cinematographer,camera_department","tt0200226,tt0024315,tt0207334,tt0012134"
nm0524342,Gary Lucchesi,-1,-1,"producer,production_manager","tt0405159,tt0117381,tt0401855,tt1655441"
nm0524451,Michael Luceri,1963,-1,"actor,editor,producer","tt0138304,tt4765610,tt0339736,tt0116914"
nm0524494,Leon Lucev,1970,-1,"actor,director,producer","tt1839522,tt7163824,tt0991351,tt1714209"
nm0524521,Rubens Francisco Lucchetti,1930,2024,"writer,producer,director","tt0084650,tt8544168,tt16239306,tt0260359"
nm0524807,Judith Lucy,1968,-1,"writer,actress,producer","tt0312409,tt0291832,tt16267464,tt0103468"
nm0525059,Tony Ludwig,-1,-1,producer,"tt0149261,tt0918940,tt0218967,tt0901476"
nm0525402,Edwin Luisi,1947,-1,"actor,archive_footage","tt1996233,tt0138254,tt0246398,tt0209571"
nm0526000,Alicia Luna,-1,-1,"writer,archive_footage","tt0350193,tt10077544,tt0232492,tt3954370"
nm0526317,Aleksa Lundberg,1981,-1,"actress,writer","tt0127382,tt9318602,tt11173524,tt4214108"
nm0527316,Aaron Lustig,1956,-1,"actor,producer,director","tt0099487,tt0319262,tt0099365,tt0104850"
nm0528638,Cheryl M. Lynn,-1,-1,actress,"tt0090169,tt0083437,tt0192528,tt0099556"
nm0530147,Hector Lopez,-1,-1,"editor,editorial_department,miscellaneous","tt6961146,tt1257695,tt0954319,tt1582461"
nm0530365,Sergi López,1965,-1,"actor,soundtrack,archive_footage","tt0457430,tt0301199,tt0216800,tt0204709"
nm0530520,Henrik Lörstad,-1,-1,"composer,music_department,producer","tt17528660,tt0182596,tt1391142,tt0836710"
nm0530561,Hans Löw,1976,-1,actor,"tt6268812,tt4048272,tt13087796,tt7776430"
nm0530898,Xiaoqing Ma,1968,-1,"actress,producer","tt0101425,tt32593171,tt32625017,tt8152748"
nm0530917,Dan Maag,1975,-1,"producer,production_manager,actor","tt13024674,tt0338751,tt0449089,tt1978524"
nm0531014,Moussa Maaskri,1962,-1,"actor,writer","tt0179987,tt1167638,tt10696896,tt2404311"
nm0531808,Kelly Macdonald,1976,-1,"actress,soundtrack,archive_footage","tt0477348,tt0280707,tt1217209,tt2763304"
nm0531827,Laurie MacDonald,1953,-1,"producer,writer","tt0119654,tt0419887,tt0408236,tt1907668"
nm0532536,Piotr Machalica,1955,2020,actor,"tt0095467,tt0111507,tt0343292,tt0102242"
nm0532651,Paul Machliss,1972,-1,"editor,editorial_department,director","tt0439572,tt9639470,tt3890160,tt8367814"
nm0533146,David Mackay,1944,-1,"music_department,composer,soundtrack","tt0086665,tt0485947,tt12560244,tt5114356"
nm0533845,Dolina MacLennan,1938,-1,actress,"tt0436697,tt1333192,tt0318987,tt10098472"
nm0534343,Andrew MacRitchie,-1,-1,"editor,editorial_department,visual_effects","tt0800175,tt0246460,tt2708480,tt31438328"
nm0534863,Madhavi,1962,-1,actress,"tt0082314,tt0230597,tt0257390,tt0378397"
nm0535295,Roman Madyanov,1962,2024,actor,"tt2802154,tt0488478,tt1252383,tt25314032"
nm0535984,John Maggio,-1,-1,"director,producer,writer","tt11354168,tt9419838,tt14495394,tt7657972"
nm0536298,Barbara Magnolfi,-1,-1,"actress,producer","tt0076786,tt34608624,tt0078300,tt9670892"
nm0536324,Diana Magnus,-1,-1,"art_director,production_designer,art_department","tt1051906,tt0123755,tt0272207,tt0285492"
nm0536805,Haim Saban,1944,-1,"composer,music_department,producer","tt3717490,tt0113820,tt1823672,tt0141369"
nm0537776,Sophie Maintigneux,1961,-1,"cinematographer,camera_department,assistant_director","tt0203297,tt0337959,tt0091830,tt6999052"
nm0538054,Wojciech Majda,1945,2018,"production_designer,art_department,set_decorator","tt0074251,tt0366070,tt0074420,tt0073474"
nm0538196,John Major,1943,-1,archive_footage,"tt0181269,tt2435144,tt1605590,tt0217215"
nm0538804,Jerzy Maksymiuk,1936,-1,"composer,music_department,actor","tt2101383,tt0091697,tt1278340,tt0083335"
nm0539082,Romany Malco,1968,-1,"actor,director,writer","tt0439100,tt0405422,tt1621045,tt1204975"
nm0539221,Javier Maldonado,-1,-1,actor,"tt0095503,tt0098279,tt0070501,tt0094084"
nm0539352,Isabelle Malenfant,1972,-1,"editor,editorial_department","tt1334076,tt3557112,tt1852155,tt6079186"
nm0539574,Himanshu Malik,-1,-1,"actor,director,writer","tt0841153,tt7628180,tt2444104,tt32843232"
nm0540215,Claes Malmberg,1961,-1,"actor,writer,archive_footage","tt0439393,tt0116741,tt3456290,tt0104761"
nm0540441,Jena Malone,1984,-1,"actress,producer,music_department","tt1974419,tt1951266,tt0118884,tt1951264"
nm0540463,Maggie Malone,-1,-1,"miscellaneous,producer,script_department","tt2245084,tt3521164,tt2948356,tt4520988"
nm0540925,Maciej Malysa,1975,-1,actor,"tt0230656,tt1111729,tt15096836,tt1821455"
nm0541039,Kevin Mambo,1972,-1,"actor,writer","tt0044265,tt1042877,tt3322314,tt9073940"
nm0541126,Mammukoya,1946,2023,actor,"tt7268738,tt0282778,tt0228808,tt0292174"
nm0541217,Lim-Chung Man,-1,-1,"production_designer,costume_designer,art_director","tt2078768,tt14099796,tt14059174,tt7075594"
