tconst,averageRating,numVotes
tt10023266,7.1,147
tt10023274,7.7,38
tt10023286,6.1,11690
tt10023812,6.9,23
tt10024036,8.6,8
tt10024044,8.1,15
tt10024716,6.8,48
tt10025196,5.4,12
tt1002563,5.7,4046
tt10025972,8.4,7
tt10026108,6.8,57
tt10026172,7.6,281
tt10026686,7.6,86
tt10026730,6.9,105
tt10026772,9.1,17
tt10027696,6.6,177
tt10027708,7.0,25
tt10027720,5.1,67
tt10028030,5.7,12
tt10028196,5.6,180797
tt10028772,7.2,6
tt10028812,6.8,285
tt10028818,6.6,15
tt10030150,4.9,50
tt10032266,6.7,771
tt10032342,7.7,1306
tt10032574,6.4,943
tt10033852,8.1,21
tt10033904,7.4,6
tt10033908,5.6,85
tt10033964,4.3,28
tt10034168,8.4,60
tt10034236,7.4,31
tt10034256,5.7,6
tt10034272,7.9,610
tt10035012,5.3,23
tt10035120,7.2,10
tt10035194,5.5,298
tt10035478,6.4,389
tt10036378,7.0,7
tt10036406,7.2,13
tt10036868,8.8,22
tt10037014,5.9,10957
tt10037498,6.7,342
tt10037542,6.2,39
tt10037700,7.2,189
tt10037872,6.6,19
tt10037934,5.4,268
tt10038006,7.6,5
tt10038028,3.3,74
tt10038660,6.4,113
tt10038826,5.8,13
tt10038830,7.9,58
tt10039014,5.4,17
tt10039338,5.6,165
tt10039344,5.4,51500
tt10039354,5.2,245
tt10039364,5.7,132
tt10039468,6.5,633
tt10039472,8.1,17
tt10039524,5.3,921
tt10039642,7.1,510
tt10040610,6.9,26
tt10040978,3.3,315
tt10041438,6.6,53
tt10041952,7.2,155
tt10041958,8.7,10
tt10041978,7.7,18
tt10042482,5.0,410
tt10042590,5.9,1090
tt10042622,4.5,133
tt10042660,7.0,9
tt10042788,5.4,490
tt10042868,8.8,144
tt10043458,7.8,43
tt10043660,3.9,1117
tt10043732,6.0,53
tt10043742,5.9,46
tt10043746,7.0,60
tt10043770,7.4,113
tt10043990,6.0,22
tt10044000,5.6,37
tt10044040,4.7,241
tt10044182,5.4,484
tt10044220,7.2,344
tt10044632,7.2,16
tt10044704,6.2,252
tt10044934,8.3,23
tt10044946,6.3,29
tt10045002,8.0,590
tt10045014,4.8,17
tt10045072,7.7,259
tt10045136,7.0,133
tt10045434,6.9,2502
tt10045688,4.8,38
tt10046208,6.1,39
tt10046236,4.1,599
tt10046522,5.9,56
tt10046694,6.0,273
tt10047128,6.4,6
tt10047356,5.6,19
tt10047464,4.9,137
tt10047904,6.7,1142
tt10047958,3.5,4785
tt10048128,8.2,82
tt10048376,5.2,38
tt10048556,3.7,406
tt10049110,7.8,111
tt10049238,7.0,47
tt10049262,5.4,200
tt10049768,7.9,18
tt10049848,3.1,457
tt10050098,6.8,11
tt10050274,6.1,33
tt10050608,5.9,15
tt10050686,3.7,8
tt10050722,7.0,25
tt10050766,7.7,1908
tt10050782,7.1,1622
tt10050816,6.6,18
tt10051000,4.5,42
tt10051088,6.9,545
tt10051320,5.1,322
tt10051586,2.3,482
tt10052156,5.8,94
tt10052290,6.4,252
tt10052314,4.7,69
tt10052928,5.1,227
tt10053058,5.7,18
tt10053426,3.6,288
tt10054316,4.4,2793
tt10054544,8.1,48
tt10054604,3.2,34
tt10054778,6.7,101
tt10054876,6.6,675
tt10054940,6.0,129
tt10054946,8.3,1133
tt10054952,7.7,8
tt10055028,7.4,1332
tt10055058,5.0,41
tt10055546,5.3,1634
tt10055618,7.4,8
tt10055770,7.1,1985
tt10055774,5.1,16
tt10056028,5.5,15
tt10056224,5.2,689
tt10056322,4.5,113
tt10056488,7.3,17
tt10056510,4.9,235
tt10058356,6.7,29
tt10058396,4.2,14
tt10058864,4.1,15
tt10058890,5.9,165
tt10058892,7.6,45
tt10059220,4.7,13
tt10059236,5.0,406
tt10059252,7.2,39
tt10059254,7.6,17
tt10059414,6.1,13
tt10059440,8.0,9
tt10059508,9.0,9
tt10059518,6.0,85228
tt10059624,6.2,55
tt10060094,5.6,21832
tt10060386,4.6,101
tt10060772,8.5,80
tt10061256,4.4,651
tt10061452,6.3,43
tt10061464,3.3,92
tt10062150,8.1,168
tt10062286,5.9,35
tt10062338,5.3,1763
tt10062474,7.5,25
tt10062530,8.5,11
tt10062556,4.2,26017
tt10062606,6.8,6
tt10062614,5.4,4932
tt10062628,6.1,253
tt10062634,5.6,358
tt10062650,5.7,94
tt10062704,6.3,34
tt10063028,8.0,13
tt10063580,5.6,202
tt10063934,5.2,22
tt10064134,4.1,71
tt10064270,6.2,58
tt10064354,7.8,24
tt10064448,7.3,278
tt10064562,5.5,36
tt10064728,6.6,19
tt10064828,6.8,106
tt10064948,4.6,14
tt10065576,5.6,19
tt10065694,5.8,31451
tt10065750,5.7,28
tt10065936,8.5,66
tt10065976,6.0,684
tt10066040,6.4,499
tt10066162,6.2,427
tt10066262,7.1,21
tt10066432,4.3,586
tt10066526,7.0,194
tt10066750,4.9,29
tt10066756,7.1,245
tt10066808,7.3,38
tt10068158,7.4,1095
tt10068184,6.6,11
tt10068544,7.8,1364
tt10068716,7.1,49
tt10068916,8.0,6981
tt10069050,7.5,16
tt10069166,3.9,1696
tt10069476,3.5,120
tt10069842,5.4,5
tt10070730,5.0,297
tt10071352,6.6,245
tt10071462,2.9,63
tt10071550,1.5,541
tt10071594,7.4,132
tt10071606,7.2,107
tt10071862,2.3,99
tt10072662,5.6,1023
tt10072948,5.3,17
tt10073008,6.8,54
tt10073018,6.0,8
tt10073452,7.0,542
tt10073458,9.7,9
tt10073510,8.6,13
tt10073640,8.3,14
tt10073928,4.1,8
tt10074426,7.1,43
tt10074458,8.3,15
tt10074486,5.9,138
tt10074536,5.8,85
tt10074544,7.1,11
tt10075070,6.1,71
tt10075078,7.5,24
tt10075374,7.0,6
tt10075380,6.3,425
tt10075442,6.9,238
tt10075508,7.8,7
tt10075536,6.2,234
tt10075604,5.4,59
tt10075650,4.9,256
tt10075732,8.1,13
tt10075830,5.4,156
tt10075944,4.6,12
tt10076106,4.7,936
tt10076440,6.7,13
tt10076722,5.3,231
tt10077034,4.2,3285
tt10077042,6.0,13
tt10077090,5.4,11
tt10077134,6.7,8
tt10077544,6.4,2190
tt10077706,5.1,82
tt10077856,9.4,9
tt10077998,6.5,1710
tt10078132,6.2,16
tt10078138,6.7,24
tt10078206,1.4,25
tt10078290,6.8,122
tt10078450,6.2,15
tt10078502,7.2,422
tt10078532,7.1,19
tt10078664,3.9,112
tt10078676,4.9,15
tt10078764,4.2,33
tt10078772,5.3,37786
tt10078822,6.4,5
tt10078834,7.4,24
tt10078886,5.6,154
tt10078894,2.8,117
tt10078900,5.4,17
tt10078904,1.4,549
tt10079028,2.9,23
tt10079398,8.0,15
tt10079448,7.3,35
tt10079652,4.0,349
tt10079698,5.2,141
tt10080052,7.2,38
tt10080086,4.6,81
tt10080092,4.8,168
tt10080110,3.6,387
tt10080130,4.4,648
tt10080198,6.6,18
tt10080270,5.9,1697
tt10080834,5.2,13
tt10080924,7.2,987
tt10080926,8.4,10
tt10080996,6.1,194
tt10081086,5.6,12
tt10081104,5.7,68
tt10081116,5.3,913
tt10081120,6.7,13
tt10081134,8.3,8
tt10081154,5.1,18
tt10081166,4.4,12
tt10081172,6.7,56
tt10081202,7.1,478
tt10081210,3.4,161
tt10081238,4.6,24
tt10081252,7.8,6
tt10081402,1.8,257
tt10081428,7.6,10
tt10081546,8.7,14
tt10081596,4.0,273
tt10081728,5.8,156
tt10081762,6.1,6823
tt10081788,5.0,29
tt10082356,7.2,24
tt10083048,7.1,61
tt10083174,4.2,5439
tt10083340,7.8,66066
tt10083640,6.6,28141
tt10083986,7.5,63
tt10084190,6.2,2443
tt10084358,6.9,11
tt10084394,4.9,17
tt10084614,7.8,16
tt10084688,6.2,249
tt10084752,7.4,58
tt10084780,6.0,116
tt10084788,7.0,11
tt10085296,5.7,59
tt10085338,5.7,2038
tt10085648,5.8,129
tt10085844,7.2,7
tt10086502,5.3,317
tt10086648,5.1,38
tt10086692,7.4,86
tt10086784,5.3,136
tt10086808,7.8,78
tt10086834,6.5,226
tt10086906,4.2,73
tt10086930,6.7,85
tt10087134,4.7,894
tt10087396,6.5,14
tt10087448,5.6,117
tt10087490,4.2,6
tt10087728,4.9,302
tt10087946,6.6,28
tt10088006,6.6,92
tt10088984,6.9,2799
tt10089152,6.9,14
tt10089828,5.5,12
tt10089942,6.9,19
tt10090058,5.4,960
tt10090588,7.1,8
tt10090744,6.2,115
tt10091268,5.4,122
tt10091272,2.6,42
tt10091380,5.5,82
tt10091514,6.8,6
tt10091530,5.0,3371
tt10091630,6.7,42
tt10091696,4.1,1049
tt10091972,7.6,34
tt10092170,6.1,1222
tt10092362,8.8,7
tt10092508,5.5,13
tt10092698,4.3,4237
tt10092736,5.1,92
tt10092752,5.2,3039
tt10092770,5.4,237
tt10092860,7.5,945
tt10093120,7.6,80
tt10093594,6.8,17
tt10094388,4.7,741
tt10095262,7.5,13
tt10095276,5.2,148
tt10095308,6.2,739
tt10095328,7.8,20
tt10095336,6.8,1648
tt10095498,8.6,9
tt10095582,7.1,43258
tt10096114,8.4,31
tt10096218,6.5,17
tt10096236,9.4,9
tt10096422,7.1,173
tt10096424,4.9,432
tt10096842,4.6,8119
tt10096850,6.0,11
tt10097056,6.4,10
tt10097086,8.1,146
tt10097312,5.8,163
tt10097346,6.5,15
tt10097362,3.9,436
tt10097364,6.3,431
tt10097384,5.4,475
tt10097436,6.8,559
tt10097442,7.0,64
tt10097470,8.4,40
tt10097484,5.1,602
tt10097530,5.5,109
tt10097544,5.8,2181
tt10097752,6.8,16
tt10097816,5.8,66
tt10097832,6.6,62
tt10097954,8.0,11
tt10097958,5.2,144
tt10097966,7.7,9
tt10097970,7.3,20
tt10098042,5.2,22
tt10098048,7.7,19
tt10098060,7.4,13
tt10098112,3.6,169
tt10098134,8.5,8
tt10098288,4.3,11450
tt10098374,4.1,45
tt10098398,7.9,19
tt10098442,5.9,71
tt10098448,7.1,16204
tt10098452,6.5,795
tt10098472,7.2,58
tt10098494,6.0,410
tt10099160,6.2,6
tt10100196,6.1,44
tt10100324,7.7,7
tt10100506,5.6,291
tt10100620,5.3,397
tt10100664,6.2,188
tt10100678,5.9,70
tt10100842,6.8,66
tt10100966,7.0,199
tt10101054,4.6,130
tt10101166,6.7,17
tt10101246,7.0,475
tt10101342,7.6,10
tt10101666,7.9,62
tt10101702,6.8,4983
tt10101782,5.6,90
tt10101806,6.2,249
tt10101810,7.7,21
tt10101846,6.5,483
tt10101974,5.2,10
tt10102080,6.4,87
tt10102164,7.5,36
tt10102174,6.9,12
tt10102182,5.7,6
tt10102192,5.3,95
tt10102250,6.1,9
tt10102296,8.9,34
tt10102306,7.4,7
tt10102328,6.3,95
tt10102350,3.9,717
tt10102356,7.6,6
tt10102402,6.4,206
tt10102408,4.3,15
tt1010248,5.9,110
tt10102490,4.9,28
tt10103028,4.9,825
tt10104502,6.0,333
tt10105850,6.1,52
tt10106082,6.6,66
tt10106394,7.5,38
tt10106416,9.6,9
tt10106604,7.5,13
tt10106734,7.1,12
tt10106812,7.8,174
tt10106822,7.5,117
tt10106848,7.6,68
tt10107012,7.1,40
tt10107208,7.0,7
tt10107222,6.6,1447
tt10107410,7.3,13
tt10107482,2.4,47
tt10107594,7.8,16
tt10107868,6.8,82
tt10107882,6.8,21
tt10108074,7.0,8
tt10108256,7.0,24
tt10108286,3.4,9
tt10108358,6.5,29
tt10108544,5.7,929
tt10108708,7.9,19
tt10109262,6.7,223
tt10109750,3.0,564
tt10109752,3.0,22
tt10109836,6.7,6
tt10109932,8.1,11
tt10109980,7.6,24
tt10110022,4.6,97
tt10110180,6.0,158
tt10110614,6.8,6063
tt10110872,1.4,206
tt10110912,3.8,73
tt10111180,7.1,187
tt10111182,7.6,94
tt10111198,7.4,22
tt10111222,4.4,19
tt10111404,5.4,147
tt10111440,6.6,57
tt10111568,7.1,270
tt10111576,6.4,10
tt10111580,4.2,24
tt10111746,6.7,246
tt10111920,6.8,57
tt10112020,7.3,16
tt10112034,6.8,29
tt10112154,8.6,92
tt10112336,8.2,5
tt10112464,5.4,58
tt10112466,4.4,181
tt10114190,7.5,15
tt10115316,7.2,88
tt10115340,3.8,7
tt10115436,7.7,225
tt10115562,6.0,2493
tt10115638,6.0,279
tt10115644,4.8,96
tt10115840,6.9,14
tt10115874,6.8,19
tt10116022,4.1,190
tt10116478,6.3,123
tt10116488,6.2,108
tt10117046,7.1,40
tt10117174,7.3,19
tt10117402,6.4,551
tt10117520,7.5,10
tt10117768,6.7,1427
tt10118064,5.5,141
tt10118134,4.9,113
tt10120830,7.4,11
tt10121022,8.5,11
tt10121110,6.4,54
tt10121372,8.2,1408
tt10121392,4.6,47813
tt10121508,6.4,912
tt10121702,5.7,70
tt10121762,7.0,1021
tt10121894,6.2,38
tt10121904,6.0,57
tt10122038,7.3,216
tt10122042,8.4,55
tt10122334,5.7,12
tt10122392,7.1,879
tt10122486,6.8,103
tt10122504,3.6,126
tt10122528,7.0,8
tt10122618,6.7,119
tt10122846,6.4,76
tt10122930,8.1,28
tt10123698,6.4,1052
tt10123970,8.2,6506
tt10124442,6.8,12
tt10124714,6.7,305
tt10125574,7.2,7
tt10125578,7.4,7
tt10125662,3.1,955
tt10125774,6.2,18
tt10125830,7.2,77
tt10125972,5.2,316
tt10125986,3.8,336
tt10126040,5.7,641
tt10126136,3.9,4335
tt10126230,5.8,8
tt10126368,4.5,171
tt10126434,5.7,5613
tt10126462,7.4,444
tt10126628,5.8,38
tt10126780,7.0,72
tt10126858,4.6,11
tt10127302,8.1,26
tt10127410,4.5,207
tt10127464,4.3,111
tt10127546,8.8,460
tt10127562,6.5,3403
tt10127628,6.1,99
tt10127634,2.9,29
tt10127684,6.1,10598
tt10127696,8.0,17
tt10127708,5.8,6256
tt10127760,7.3,216
tt10127964,6.2,100
tt10128020,7.8,9
tt10128378,6.4,6
tt10128580,7.6,23
tt10128846,4.7,39832
tt10128920,4.6,404
tt10129040,5.6,329
tt10129414,6.6,13
tt10129678,7.6,8
tt10129824,6.0,9
tt10130954,8.0,28
tt10131024,5.7,11697
tt10131028,4.1,146
tt10131150,7.3,29
tt10131230,6.8,109
tt10131762,5.5,864
tt10131904,5.4,107
tt10132048,7.7,337
tt10132068,5.9,130
tt10132196,2.7,3299
tt10132488,6.2,158
tt10132874,8.1,18
tt10132976,6.1,976
tt10133004,5.8,9
tt10133066,7.7,1161
tt10133076,5.6,19
tt10133220,7.9,8
tt10133278,6.4,49
tt10133296,7.3,96
tt10133300,7.9,1941
tt10133378,5.2,398
tt10133380,8.4,30
tt10133680,6.5,43
tt10133702,8.0,1129
tt10133780,6.2,92
tt10134372,8.3,66
tt10134756,7.8,7
tt10134812,6.2,51
tt10135068,7.0,1493
tt10135960,9.0,6
tt10136034,8.2,39
tt10136364,5.1,38
tt10136434,5.8,138
tt10136606,7.0,72
tt10136634,6.4,34
tt10136880,4.7,381
tt10137106,8.0,10
tt10137324,5.7,27
tt10137462,5.3,8
tt10138312,6.5,53
tt10139778,8.4,8
tt10140002,7.8,591
tt10140014,7.0,16
tt10140138,4.1,102
